"airport_icao","latitude","longitude"
VISR,"33.988","74.775"
VLVT,"17.988","102.563"
VTSG,"8.1","98.985"
KONT,"34.056",-117.601
MMPR,"20.68",-105.254
WIBB,"0.463","101.447"
LYBE,"44.819","20.307"
EBCI,"50.46","4.453"
LTBS,"36.713","28.791"
OERK,"24.963","46.708"
WBGG,"1.485","110.345"
KMEM,"35.042",-89.977
KMIA,"25.795",-80.29
KMSO,"46.916",-114.091
LTCS,"37.45","38.9"
KIND,"39.717",-86.295
VGHS,"23.843","90.398"
VVDN,"16.044","108.2"
WIEE,-0.786,"100.28"
WIII,-6.124,"106.661"
EKCH,"55.618","12.656"
KPHX,"33.434",-112.012
LTAN,"37.981","32.563"
RPMD,"7.126","125.646"
VDSV,"10.575","103.634"
ZGNN,"22.61","108.173"
EDDB,"52.362","13.501"
KCHS,"32.899",-80.041
KDSM,"41.534",-93.663
KRSW,"26.536",-81.755
KSBA,"34.426",-119.842
LSGG,"46.238","6.109"
URMG,"43.388","45.7"
VTUD,"17.386","102.788"
WBKS,"5.902","118.049"
KMCO,"28.429",-81.309
LEMD,"40.472",-3.561
LFLL,"45.726","5.081"
UKOO,"46.427","30.676"
WAAA,-5.061,"119.554"
KRIC,"37.505",-77.32
LRBC,"46.522","26.91"
VEPT,"25.594","85.092"
ZGGG,"23.39","113.308"
EDDL,"51.281","6.757"
KIAH,"29.984",-95.341
KSAV,"32.128",-81.202
LFBO,"43.635","1.368"
LTAP,"40.829","35.522"
EDDM,"48.354","11.786"
KDTW,"42.212",-83.353
KFSD,"43.582",-96.742
KPIT,"40.491",-80.233
KRNO,"39.499",-119.768
UWGG,"56.23","43.784"
VTUK,"16.465","102.782"
HEGN,"27.179","33.801"
KPBI,"26.683",-80.096
LTAI,"36.9","30.793"
KPNS,"30.473",-87.187
UKHH,"49.927","36.29"
KAUS,"30.195",-97.67
KELP,"31.807",-106.376
KORD,"41.979",-87.907
LTCI,"38.468","43.332"
ORBI,"33.263","44.235"
VAAH,"23.071","72.626"
VAPO,"18.583","73.92"
WBSB,"4.944","114.928"
KSNA,"33.676",-117.868
LOWW,"48.11","16.57"
LTCD,"39.713","39.521"
VECC,"22.654","88.447"
VTSR,"9.778","98.585"
KTTN,"40.277",-74.813
LTBU,"41.129","27.906"
LTCF,"40.562","43.115"
VTSP,"8.113","98.309"
KORF,"36.895",-76.201
KSTL,"38.749",-90.37
LTCK,"38.748","41.661"
RPLL,"14.51","121.014"
VCBI,"7.18","79.885"
VDPP,"11.547","104.844"
WIMM,"3.642","98.885"
WMKK,"2.743","101.698"
ZGMX,"24.35","116.133"
KJPN,"38.85",-77.033
KPDX,"45.589",-122.597
LFPO,"48.723","2.379"
VICG,"30.673","76.79"
VTSB,"9.136","99.139"
WBGS,"2.264","111.983"
EGSS,"51.885","0.235"
KBHM,"33.564",-86.752
KBUF,"42.94",-78.731
KGRR,"42.881",-85.523
KLAX,"33.943",-118.408
KTUL,"36.198",-95.888
LTFH,"41.266","36.549"
ZGSZ,"22.638","113.812"
KJAX,"30.494",-81.688
VTUI,"17.195","104.119"
WAHH,-7.787,"110.432"
WITT,"5.517","95.42"
VABP,"23.287","77.337"
KPVD,"41.724",-71.428
