"airport_icao","latitude","longitude"
LIME,"45.669","9.7"
MMSD,"23.152",-109.721
OKBK,"29.227","47.98"
ZGOW,"23.553","116.502"
KBOI,"43.564",-116.223
LTCJ,"37.929","41.117"
WMKJ,"1.641","103.67"
OJAI,"31.723","35.993"
VOVZ,"17.722","83.223"
VTSN,"8.464","99.958"
CYYC,"51.123",-114.013
EDDG,"52.135","7.685"
KMCI,"39.298",-94.714
KSEA,"47.45",-122.312
VTCC,"18.771","98.963"
VVNB,"21.222","105.806"
EHAM,"52.308","4.764"
KISP,"40.795",-73.1
KPWM,"43.646",-70.309
OTHH,"25.275","51.608"
VTCN,"18.808","100.783"
VTUL,"17.439","101.722"
VYYY,"16.907","96.133"
EDDF,"50.033","8.57"
ENGM,"60.203","11.084"
KCID,"41.885",-91.711
KCMH,"39.997",-82.892
KPHL,"39.872",-75.241
LFSB,"47.59","7.529"
LTAZ,"38.772","34.535"
VQPR,"27.403","89.425"
VTBU,"12.68","101.005"
WBKW,"4.313","118.122"
KBWI,"39.175",-76.668
KSYR,"43.111",-76.106
LEBL,"41.297","2.078"
LTAL,"41.314","33.796"
URWW,"48.783","44.346"
VOGO,"15.381","73.827"
VOMM,"12.995","80.176"
VOTV,"8.479","76.92"
VTCT,"19.952","99.883"
VTUV,"16.117","103.774"
MMUN,"21.043",-86.873
KICT,"37.65",-97.433
KLAS,"36.08",-115.152
LTBO,"38.681","29.48"
BKPR,"42.573","21.036"
KIAD,"38.947",-77.46
KSFO,"37.619",-122.375
VTBS,"13.686","100.749"
EDHI,"53.534","9.832"
KGEG,"47.619",-117.535
LTAY,"37.786","29.701"
ORER,"36.238","43.947"
UUDD,"55.409","37.906"
VEBS,"20.247","85.819"
VERC,"23.314","85.321"
VIJO,"26.257","73.052"
WIOO,-0.148,"109.404"
KDEN,"39.862",-104.673
LTFJ,"40.898","29.309"
WBGR,"4.325","113.988"
KDCA,"38.852",-77.038
LIRF,"41.8","12.239"
LKPR,"50.101","14.26"
VOBZ,"16.534","80.803"
CYYR,"53.319",-60.426
EDDV,"52.46","9.684"
LTAJ,"36.948","37.479"
LTDA,"36.372","36.299"
VDSR,"13.411","103.812"
VERP,"21.181","81.739"
WAHQ,-7.514,"110.75"
KSJC,"37.363",-121.929
KSMF,"38.695",-121.591
LTFE,"37.247","27.681"
URKK,"45.035","39.17"
VABB,"19.092","72.866"
KOMA,"41.303",-95.894
LATI,"41.415","19.721"
LTBR,"40.255","29.563"
LTCA,"38.598","39.281"
WMKA,"6.194","100.401"
EDDS,"48.69","9.222"
ESSA,"59.652","17.919"
KBNA,"36.124",-86.678
KDFW,"32.897",-97.038
KMKE,"42.947",-87.897
KSDF,"38.174",-85.736
RCKH,"22.577","120.35"
VTUU,"15.251","104.87"
EDDN,"49.499","11.078"
KSAT,"29.534",-98.469
KSLC,"40.788",-111.978
KTYS,"35.811",-83.994
LTAR,"39.814","36.903"
LWSK,"41.962","21.621"
VAHB,"15.361","75.086"
VANP,"21.092","79.048"
EDDK,"50.866","7.143"
KATL,"33.637",-84.428
KOKC,"35.393",-97.601
KPSP,"33.83",-116.507
VEAT,"23.891","91.239"
KLGA,"40.777",-73.873
LSZH,"47.458","8.548"
LTAF,"36.982","35.28"
UKDE,"47.867","35.315"
VAND,"19.181","77.323"
VARP,"21.181","81.739"
VIJP,"26.824","75.803"
VOCI,"10.154","76.407"
WBKK,"5.945","116.053"
KABQ,"35.039",-106.608
LTCB,"40.966","38.081"
VEGY,"24.748","84.943"
VMMC,"22.149","113.591"
VTST,"7.509","99.616"
KCLT,"35.214",-80.949
LGAV,"37.937","23.945"
LTAU,"38.77","35.495"
UKKK,"50.402","30.452"
ZPPP,"25.105","102.942"
KRDU,"35.878",-78.787
UGTB,"41.669","44.955"
VOCB,"11.027","77.042"
VOHS,"17.241","78.429"
VOML,"12.962","74.89"
VTUW,"17.385","104.642"
EDDH,"53.63","9.988"
KCVG,"39.049",-84.668
LTAT,"38.432","38.083"
URMM,"44.227","43.083"
VOBL,"13.199","77.706"
KBBG,"36.532",-93.201
KLIT,"34.729",-92.225
LCEN,"35.149","33.5"
LTCC,"37.893","40.201"
VRMM,"4.192","73.529"
VTPH,"12.63","99.953"
WMKC,"6.166","102.293"
KMYR,"33.68",-78.928
LFML,"43.437","5.215"
TJSJ,"18.439",-66.002
VTSF,"8.464","99.958"
WMKP,"5.297","100.277"
KCLE,"41.409",-81.855
OMSJ,"25.329","55.516"
VEBN,"25.451","82.859"
VIDP,"28.569","77.112"
VOPB,"11.641","92.73"
VILK,"26.762","80.883"
WSSS,"1.359","103.989"
ZGKL,"25.217","110.038"
KGSO,"36.101",-79.941
KTPA,"27.975",-82.533
VTBD,"13.914","100.606"
WARR,-7.384,"112.78"
WIPP,-2.901,"104.7"
KCOS,"38.806",-104.701
LIPE,"44.531","11.297"
LTBJ,"38.289","27.155"
OBBI,"26.271","50.634"
UKBB,"50.345","30.893"
UKLL,"49.81","23.958"
VAUD,"24.618","73.894"
WMSA,"3.131","101.548"
LTFD,"39.56","27.024"
VIAR,"31.705","74.802"
VTPP,"16.783","100.279"
KMSN,"43.14",-89.338
LTBA,"40.976","28.814"
LTCR,"37.223","40.632"
VVCR,"11.995","109.218"
KBIS,"46.773",-100.746
KSAN,"32.734",-117.19
LROP,"44.571","26.085"
VOTR,"10.766","78.715"
VVTS,"10.821","106.661"
LTCM,"42.016","35.066"
WADL,-8.758,"116.277"
ZGHA,"28.19","113.218"
LTCG,"40.996","39.785"
VHHH,"22.309","113.915"
OLBA,"33.819","35.49"
UWWW,"53.501","50.154"
VEGT,"26.105","91.586"
WICC,-6.902,"107.576"
ZBTJ,"39.123","117.345"
KMSP,"44.882",-93.222
LLBG,"32.009","34.886"
WMKL,"6.333","99.733"
LTCN,"37.539","36.954"
RPVK,"11.68","122.376"
WMKN,"5.381","103.105"
HESH,"27.979","34.393"
KMDT,"40.193",-76.763
LTAC,"40.128","32.995"
MDPC,"18.571",-68.366
OEJN,"21.681","39.155"
VAID,"22.723","75.806"
VAJM,"22.466","70.013"
VIJU,"32.693","74.84"
LHBP,"47.439","19.262"
WBKL,"5.302","115.248"
KMSY,"29.993",-90.259
LTCE,"39.956","41.171"
VLLB,"19.906","102.169"
VTSS,"6.933","100.395"
WADD,-8.747,"115.169"
WBGB,"3.124","113.02"
